Bayshore Elementary,"$16,879 ","$89,074 "
Montebello Unified,"$13,993 ","$52,592 "
Castro Valley Unified,"$11,860 ","$114,277 "
Merced Union High,"$14,146 ","$51,793 "
Clear Creek Elementary,"$10,656 ","$69,125 "
Ceres Unified,"$12,822 ","$58,193 "
Indian Diggings Elementary,"$16,833 ","$38,125 "
New Haven Unified,"$12,269 ","$112,496 "
Tulare Joint Union High,"$14,165 ","$51,324 "
Ukiah Unified,"$13,764 ","$53,277 "
Alisal Union,"$12,215 ","$60,978 "
Mark Twain Union Elementary,"$11,131 ","$66,239 "
Tahoe-Truckee Unified,"$18,822 ","$80,154 "
Visalia Unified,"$12,279 ","$60,393 "
Campbell Union,"$13,527 ","$106,695 "
Los Banos Unified,"$11,990 ","$61,691 "
Ocean View - Oxnard,"$11,925 ","$61,940 "
Knightsen Elementary,"$10,386 ","$122,844 "
Golden Plains Unified,"$16,317 ","$39,702 "
Piner-Olivet Union Elementary,"$15,122 ","$99,269 "
Laton Joint Unified,"$15,518 ","$43,627 "
Willits Unified,"$14,219 ","$50,068 "
New Jerusalem Elementary,"$12,139 ","$60,417 "
Fort Bragg Unified,"$14,147 ","$50,363 "
Richland Union Elementary,"$15,082 ","$45,592 "
Harmony Union Elementary,"$19,871 ","$75,806 "
Curtis Creek Elementary,"$11,436 ","$63,750 "
Rim Of The World Unified,"$11,977 ","$61,039 "
Shasta Union High,"$12,856 ","$56,631 "
San Bruno Park Elementary,"$12,992 ","$110,290 "
Le Grand Union High,"$15,548 ","$43,096 "
Sequoia Union Elementary,"$10,145 ","$70,119 "
Black Butte Union Elementary,"$14,148 ","$50,032 "
Butteville Union Elementary,"$10,482 ","$68,365 "
Livingston Union,"$13,071 ","$55,392 "
Riverdale Joint Unified,"$14,576 ","$47,768 "
Hemet Unified,"$14,843 ","$46,293 "
Pleasant Valley Joint Union Elementary,"$19,074 ","$80,238 "
Fall River Joint Unified,"$14,288 ","$49,037 "
Chawanakee Unified,"$11,561 ","$62,656 "
Oak Run Elementary,"$13,456 ","$53,068 "
Stanislaus Union Elementary,"$11,994 ","$60,337 "
Turlock Unified,"$12,863 ","$55,962 "
National Elementary,"$14,824 ","$46,062 "
Meridian Elementary,"$22,455 ","$63,750 "
Summerville Elementary,"$11,330 ","$63,333 "
Stockton Unified,"$15,106 ","$44,393 "
Guadalupe Union Elementary,"$13,783 ","$50,864 "
Pleasant Grove Joint Union,"$10,731 ","$66,094 "
Penn Valley Union Elementary,"$11,570 ","$61,581 "
Bonny Doon Union Elementary,"$13,485 ","$109,306 "
Buttonwillow Union Elementary,"$16,074 ","$38,917 "
Los Olivos Elementary,"$15,399 ","$99,844 "
Lynwood Unified,"$13,451 ","$52,007 "
Westwood Unified,"$15,578 ","$41,364 "
Live Oak Unified,"$12,518 ","$56,667 "
