National Center for Education Statistics,,,,,,,,,,,,,,,,,
Education Finance Peer Tool,,,,,,,,,,,,,,,,,
The file contains (980) records based on your search.,,,,,,,,,,,,,,,,,
NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user.,,,,,,,,,,,,,,,,,
LEAID,NAME,FIPST,MSTATE,FIPST_NAME,GSLO,GSHI,a_type,distlocale,SchoolLevel,LocaleCode,LocaleText,data_type,MSC,MSCText,TypeCode,TypeText,PercentPoverty
0626970,New Hope Elementary,06,CA,CALIFORNIA,KG,08,1,42,01-Elementary school system only,42,Rural: Distant,MetroMicro,1,Metropolitan Area,1,Regular School District,26.813880126183
0627450,Norris Elementary,06,CA,CALIFORNIA,KG,08,1,11,01-Elementary school system only,11,City: Large,MetroMicro,1,Metropolitan Area,1,Regular School District,7.11060948081264
0627780,Nuview Union,06,CA,CALIFORNIA,KG,12,1,41,03-Elementary/secondary school system,41,Rural: Fringe,MetroMicro,1,Metropolitan Area,1,Regular School District,18.4558823529412
0627850,Oak Park Unified,06,CA,CALIFORNIA,KG,12,1,22,03-Elementary/secondary school system,22,Suburb: Midsize,MetroMicro,1,Metropolitan Area,1,Regular School District,5.99885189437428
0627900,Oak Valley Union Elementary,06,CA,CALIFORNIA,KG,08,1,41,01-Elementary school system only,41,Rural: Fringe,MetroMicro,1,Metropolitan Area,1,Regular School District,28.0528052805281
0628250,Oceanside Unified,06,CA,CALIFORNIA,KG,12,1,21,03-Elementary/secondary school system,21,Suburb: Large,MetroMicro,1,Metropolitan Area,1,Regular School District,19.0276647681041
0628270,Ojai Unified,06,CA,CALIFORNIA,KG,12,1,21,03-Elementary/secondary school system,21,Suburb: Large,MetroMicro,1,Metropolitan Area,1,Regular School District,12.4488868696047
0601650,Acalanes Union High,06,CA,CALIFORNIA,09,12,1,21,02-Secondary school system only,21,Suburb: Large,MetroMicro,1,Metropolitan Area,1,Regular School District,4.21052631578947
0601770,Alameda Unified,06,CA,CALIFORNIA,KG,12,1,21,03-Elementary/secondary school system,21,Suburb: Large,MetroMicro,1,Metropolitan Area,1,Regular School District,11.998510658103
0602100,Alpine Union Elementary,06,CA,CALIFORNIA,KG,08,1,21,01-Elementary school system only,21,Suburb: Large,MetroMicro,1,Metropolitan Area,1,Regular School District,8.63309352517986
0629280,Pacheco Union Elementary,06,CA,CALIFORNIA,KG,08,1,41,01-Elementary school system only,41,Rural: Fringe,MetroMicro,1,Metropolitan Area,1,Regular School District,12.6016260162602
